Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)	2/16	1.2570489476168942E-5	0.0010184601920746974	0	0	570.8285714285714	6441.320131180008	RHOA;TGFBR1
Renin-angiotensin system	2/17	1.4244198490555207E-5	0.0010184601920746974	0	0	532.7466666666667	5945.00574969243	ACE;MME
Colorectal cancer	2/62	1.9658095723117602E-4	0.006373145030809835	0	0	132.88666666666666	1134.1127805457324	RHOA;TGFBR1
Semaphorin interactions	2/66	2.2283723883950471E-4	0.006373145030809835	0	0	124.55625	1047.4020911231612	PLXND1;RHOA
Signaling by TGF-beta receptor complex	2/66	2.2283723883950471E-4	0.006373145030809835	0	0	124.55625	1047.4020911231612	RHOA;TGFBR1
Adherens junction cell adhesion	2/74	2.802244447482213E-4	0.006678682599832607	0	0	110.67222222222222	905.2898894159164	RHOA;TGFBR1
TGF-beta regulation of skeletal system development	2/85	3.697031807093683E-4	0.0075525078344913805	0	0	95.95180722891567	758.2889101853033	RHOA;TGFBR1
Chagas disease	2/104	5.529033005328641E-4	0.009883146497024946	0	0	78.00392156862745	585.0549529900652	ACE;TGFBR1
TGF-beta signaling pathway	2/185	0.0017333790226048474	0.025005781776847848	0	0	43.30054644808743	275.29112999670446	RHOA;TGFBR1
Axonal growth stimulation	1/5	0.0017489165149326186	0.025005781776847848	0	0	832.875	5287.722499803602	RHOA
Endocytosis	2/201	0.0020415897383779893	0.025005781776847848	0	0	39.78693467336684	246.4413273661466	RHOA;TGFBR1
G beta-gamma signaling through PI3K gamma	1/6	0.002098387281973246	0.025005781776847848	0	0	666.2666666666667	4108.590825691207	RHOA
Vitamin D (calciferol) metabolism	1/7	0.002447753460042304	0.026464858359129376	0	0	555.1944444444445	3338.1535834228603	LRP2
Sema4D-mediated inhibition of cell attachment and migration	1/8	0.002797015027105056	0.026464858359129376	0	0	475.85714285714283	2797.6605002155425	RHOA
Alpha-4 beta-7 integrin signaling	1/9	0.003146171972763632	0.026464858359129376	0	0	416.3541666666667	2398.8531813701998	RHOA
Axonogenesis regulation by p75 neurotrophin receptor	1/9	0.003146171972763632	0.026464858359129376	0	0	416.3541666666667	2398.8531813701998	RHOA
PI3K/AKT signalling	1/9	0.003146171972763632	0.026464858359129376	0	0	416.3541666666667	2398.8531813701998	RHOA
Stress fiber formation mediated by Rho-selective guanine exchange factor AKAP13	1/11	0.00384417200458596	0.026877497890606297	0	0	333.05	1852.1566750462314	RHOA
TGF-beta signaling in gastrointestinal stem cells	1/11	0.00384417200458596	0.026877497890606297	0	0	333.05	1852.1566750462314	TGFBR1
Angiotensin-converting enzyme 2 regulation of heart function	1/13	0.0045417536091676225	0.026877497890606297	0	0	277.5138888888889	1497.032601111507	ACE
S1P/S1P4 pathway	1/14	0.004890387533564395	0.026877497890606297	0	0	256.15384615384613	1362.8623704331803	RHOA
Pathways in cancer	2/325	0.005237902081554095	0.026877497890606297	0	0	24.359133126934985	127.930129094448	RHOA;TGFBR1
Axon guidance	2/325	0.005237902081554095	0.026877497890606297	0	0	24.359133126934985	127.930129094448	PLXND1;RHOA
Mu-calpain pathway	1/15	0.005238916894144343	0.026877497890606297	0	0	237.8452380952381	1249.0776854949	RHOA
Arf6 vesicle-mediated transport	1/15	0.005238916894144343	0.026877497890606297	0	0	237.8452380952381	1249.0776854949	RHOA
Protein kinase A (PKA) at the centrosome	1/16	0.005587341707821481	0.026877497890606297	0	0	221.9777777777778	1151.4545938502376	RHOA
Other semaphorin interactions	1/16	0.005587341707821481	0.026877497890606297	0	0	221.9777777777778	1151.4545938502376	PLXND1
PI3K subunit p85 role in regulation of actin organization and cell migration	1/16	0.005587341707821481	0.026877497890606297	0	0	221.9777777777778	1151.4545938502376	RHOA
ACE inhibitor pathway	1/17	0.005935661995124462	0.026877497890606297	0	0	208.09375	1066.8501922993223	ACE
Integrin beta-5 pathway	1/17	0.005935661995124462	0.026877497890606297	0	0	208.09375	1066.8501922993223	TGFBR1
MAL role in Rho-mediated activation of SRF	1/19	0.00663198906678106	0.026877497890606297	0	0	184.9537037037037	927.7001289942034	RHOA
Tob role in T-cell activation	1/19	0.00663198906678106	0.026877497890606297	0	0	184.9537037037037	927.7001289942034	TGFBR1
E-cadherin keratinocyte pathway	1/21	0.0073278982772855125	0.026877497890606297	0	0	166.44166666666666	818.2383072102982	RHOA
S1P/S1P1 pathway	1/21	0.0073278982772855125	0.026877497890606297	0	0	166.44166666666666	818.2383072102982	RHOA
CCR3 signaling in eosinophils	1/22	0.0076756962402828215	0.026877497890606297	0	0	158.5079365079365	771.8855078560287	RHOA
Signaling events mediated by PRL	1/23	0.008023389804178622	0.026877497890606297	0	0	151.29545454545453	730.0602205833903	RHOA
Signaling events mediated by the hedgehog family	1/23	0.008023389804178622	0.026877497890606297	0	0	151.29545454545453	730.0602205833903	LRP2
Collagen binding in corneal epithelia mediated by Erk and PI-3 Kinase	1/23	0.008023389804178622	0.026877497890606297	0	0	151.29545454545453	730.0602205833903	RHOA
Rho cell motility signaling pathway	1/23	0.008023389804178622	0.026877497890606297	0	0	151.29545454545453	730.0602205833903	RHOA
Plexin D1 signaling	1/24	0.00837097899164431	0.026877497890606297	0	0	144.71014492753622	692.1463710595567	PLXND1
Endogenous Toll-like receptor signaling	1/24	0.00837097899164431	0.026877497890606297	0	0	144.71014492753622	692.1463710595567	RHOA
Developmental biology	2/420	0.00861537171013826	0.026877497890606297	0	0	18.732057416267942	89.05608342085415	PLXND1;RHOA
ALK1 pathway	1/26	0.009065844334115208	0.026877497890606297	0	0	133.12	626.0954814439701	TGFBR1
Physiological and pathological hypertrophy  of the heart	1/26	0.009065844334115208	0.026877497890606297	0	0	133.12	626.0954814439701	RHOA
TGF-beta signaling in development	1/26	0.009065844334115208	0.026877497890606297	0	0	133.12	626.0954814439701	TGFBR1
Ras signaling pathway	1/26	0.009065844334115208	0.026877497890606297	0	0	133.12	626.0954814439701	RHOA
CTCF pathway	1/27	0.009413120536176647	0.026877497890606297	0	0	127.99358974358974	597.1733894173036	TGFBR1
G-protein beta-gamma signalling	1/28	0.009760292455613027	0.026877497890606297	0	0	123.24691358024691	570.5633183132499	RHOA
TGF-beta receptor activation of SMADs	1/28	0.009760292455613027	0.026877497890606297	0	0	123.24691358024691	570.5633183132499	TGFBR1
Influence of Ras and Rho proteins on G1 to S transition	1/29	0.01010736011907222	0.026877497890606297	0	0	118.83928571428571	546.0060757050519	RHOA
S1P/S1P3 pathway	1/29	0.01010736011907222	0.026877497890606297	0	0	118.83928571428571	546.0060757050519	RHOA
Sema4D in semaphorin signaling	1/29	0.01010736011907222	0.026877497890606297	0	0	118.83928571428571	546.0060757050519	RHOA
Alpha-6 beta-4 integrin signaling pathway	1/31	0.010801182772692638	0.026877497890606297	0	0	110.90555555555555	502.1914056148727	RHOA
Alpha-V beta-3 integrin/OPN pathway	1/31	0.010801182772692638	0.026877497890606297	0	0	110.90555555555555	502.1914056148727	RHOA
NF-kappaB activation by non-typeable Hemophilus influenzae	1/31	0.010801182772692638	0.026877497890606297	0	0	110.90555555555555	502.1914056148727	TGFBR1
Syndecan 4 pathway	1/32	0.011147937810724552	0.026877497890606297	0	0	107.3225806451613	482.57606413668003	RHOA
Netrin-mediated signaling events	1/32	0.011147937810724552	0.026877497890606297	0	0	107.3225806451613	482.57606413668003	RHOA
Serotonin HTR1 group and FOS pathway	1/32	0.011147937810724552	0.026877497890606297	0	0	107.3225806451613	482.57606413668003	RHOA
Syndecan 2 pathway	1/33	0.011494588689037815	0.026877497890606297	0	0	103.96354166666667	464.2885874243707	RHOA
Glycoprotein VI-mediated activation cascade	1/33	0.011494588689037815	0.026877497890606297	0	0	103.96354166666667	464.2885874243707	RHOA
N-cadherin signaling events	1/34	0.011841135434323054	0.026877497890606297	0	0	100.8080808080808	447.2023640851642	RHOA
