Entry Name,Protein names,Gene Names,URINE,PLASMA,SERUM,BIOFLUID
A0A5F5XCT0_FELCA,Alpha-1-B glycoprotein,A1BG,31.498,31.496,31.433,URINE+SERUM+PLASMA
M3W0W4_FELCA,Alpha-1-B glycoprotein,A1BG,20.032,19.628,19.996,URINE+SERUM+PLASMA
M3W3E7_FELCA,Alpha-2-macroglobulin,A2M PZP,24.189,25.752,25.529,URINE+PLASMA
A0A5F5Y1U9_FELCA,Alpha-2-macroglobulin,A2M PZP,26.729,30.630,30.587,URINE+PLASMA
A0A5F5Y328_FELCA,Alpha-2-macroglobulin,A2M PZP,17.618,19.601,19.964,URINE+SERUM
A0A337S3K5_FELCA,Alpha-2-macroglobulin like 1,A2ML1,22.369,26.642,26.846,URINE+SERUM
M3WN23_FELCA,ATP binding cassette subfamily A member 6,ABCA6,18.705,11.712,11.402,URINE
A0A337S6A5_FELCA,ATP binding cassette subfamily B member 9,ABCB9,21.779,22.789,18.356,URINE+PLASMA
A0A337RXE3_FELCA,Putative protein-lysine deacylase ABHD14B (Alpha/beta hydrolase domain-containing protein 14B),ABHD14B,25.702,20.751,20.838,URINE
A0A337SDS2_FELCA,ABI family member 3 binding protein,ABI3BP,20.062,19.192,18.548,URINE
A0A337S133_FELCA,Costars family protein ABRACL (ABRA C-terminal-like protein),ABRACL,17.744,18.566,18.237,URINE+SERUM+PLASMA
A0A337S9Y6_FELCA,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial (EC 1.3.8.7)",ACADM,18.972,10.174,10.931,URINE
M3W0B5_FELCA,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial (EC 1.3.8.5) (2-methyl branched chain acyl-CoA dehydrogenase) (2-methylbutyryl-coenzyme A dehydrogenase)",ACADSB,21.078,18.741,19.148,URINE
A0A5F5XDQ7_FELCA,Aggrecan core protein (Cartilage-specific proteoglycan core protein),ACAN,20.532,17.895,18.655,URINE
A0A5F5XYF2_FELCA,"Acetyl-CoA acetyltransferase, mitochondrial",ACAT1,17.158,14.251,14.393,URINE
M3VZ88_FELCA,acetyl-CoA C-acetyltransferase (EC 2.3.1.9),ACAT2,13.506,10.845,11.550,URINE
A0A5F5XZX3_FELCA,acetyl-CoA C-acetyltransferase (EC 2.3.1.9),ACAT2,18.535,16.349,16.144,URINE
A0A2I2UTZ7_FELCA,Angiotensin-converting enzyme (EC 3.4.-.-),ACE,26.612,25.534,25.713,URINE
ACE2_FELCA,Angiotensin-converting enzyme 2 (EC 3.4.17.23) (ACE-related carboxypeptidase) (EC 3.4.17.-) [Cleaved into: Processed angiotensin-converting enzyme 2],ACE2,30.137,23.595,23.732,URINE
