Entry,Reviewed,Entry Name,Protein names,Gene Names,B,A,D,C,E,F,G,H,I,C,D,A,B,E,F,H,I,G,A,B,D,C,E,F,I,H,G
A0A5F5XCT0,unreviewed,A0A5F5XCT0_FELCA,Alpha-1-B glycoprotein,A1BG,31.30220319,31.01466786,31.23740623,32.28593427,31.29986151,31.22712875,31.23361856,32.30432132,31.57507063,31.47495234,31.243904,30.86240142,31.37721129,31.04953531,31.37671558,32.19719446,31.54547859,32.33864149,31.09652196,31.21637341,31.63376576,30.86825166,31.4260404,31.36384042,31.16919749,32.09595259,32.02567741
M3W0W4,unreviewed,M3W0W4_FELCA,Alpha-1-B glycoprotein,A1BG,19.89429744,19.38823441,20.09208227,20.47156893,15.89057331,15.84982588,22.37332092,23.09663476,23.23049876,15.49320029,15.55889875,17.7304489,17.95916719,22.03437479,21.22048985,23.07406309,22.78220254,20.79571761,16.32285141,18.23742774,19.13886376,16.60558068,22.44568754,21.82985777,17.71097079,23.7221916,23.94857947
M3W3E7,unreviewed,M3W3E7_FELCA,Alpha-2-macroglobulin,A2M PZP,25.25536823,23.38097681,23.54785939,25.26956388,24.01521905,24.58061635,24.25299945,23.73026981,23.66937647,26.55740915,25.27920899,26.00592315,25.97454803,25.22410794,25.61347423,26.50114563,24.93321085,25.67952844,25.81995519,25.33005962,25.62064235,25.9419807,24.46614986,25.33007663,25.48230057,26.16431279,25.6069405
A0A5F5Y1U9,unreviewed,A0A5F5Y1U9_FELCA,Alpha-2-macroglobulin,A2M PZP,25.44843437,27.13949157,27.42714762,24.82691119,25.06006303,28.99807739,25.67654787,28.10795694,27.87625048,30.6838158,30.12956444,30.62212669,31.00195041,30.71086287,30.59361396,30.95098637,30.379943,30.59555142,30.8999227,30.78441023,30.54112026,30.43737867,30.07361534,30.56593187,30.41313435,30.94814699,30.6172512
A0A5F5Y328,unreviewed,A0A5F5Y328_FELCA,Alpha-2-macroglobulin,A2M PZP,20.91451435,19.99337061,18.83995669,17.72418009,17.59458502,16.39557086,19.23405148,13.67135452,14.19765171,21.26607054,22.26780898,21.13345584,21.42430423,17.16387267,18.48531938,17.7104282,18.3372102,18.62117815,22.22326222,22.40668694,21.08216108,21.12920904,18.78910752,19.62168932,18.29553196,17.64335356,18.48079524
A0A337S3K5,unreviewed,A0A337S3K5_FELCA,Alpha-2-macroglobulin like 1,A2ML1,22.35916287,21.88087632,22.95045596,21.09341048,21.09989249,24.83838448,21.69763498,22.90945502,22.49598385,26.58833622,25.94046058,25.82251108,26.57527121,27.45799436,26.63647529,27.0578728,26.80604746,26.89449784,26.26140739,26.98816796,27.18104652,26.27458208,27.11639906,26.73278956,27.03873536,27.03775877,26.97921237
M3WN23,unreviewed,M3WN23_FELCA,ATP binding cassette subfamily A member 6,ABCA6,20.19057728,20.29624511,15.80332706,20.83587492,12.18237238,16.16466298,20.20883867,21.3727673,21.29094792,11.23883124,12.84914884,12.74081931,12.47199924,12.58185631,10,12.41045911,10,11.11069535,12.63825319,12.40139462,10.07366889,12.01642179,10,12.04744976,11.8301873,11.61183172,10
A0A337S6A5,unreviewed,A0A337S6A5_FELCA,ATP binding cassette subfamily B member 9,ABCB9,20.98335814,22.12493002,21.22398182,20.80871273,20.81383598,21.46013212,21.87960986,23.46563787,23.24841557,23.91505172,22.03228316,22.94981668,25.14686814,22.74031767,23.44284554,22.03900233,21.11832681,21.71990249,18.57042696,18.8479767,19.36614241,18.53643753,19.02458659,19.15362288,18.04070815,17.13302243,16.53192229
A0A337RXE3,unreviewed,A0A337RXE3_FELCA,Putative protein-lysine deacylase ABHD14B (Alpha/beta hydrolase domain-containing protein 14B),ABHD14B,25.5044068,25.14282854,25.01360924,25.04110289,27.04927425,25.90998057,25.20979959,25.96471655,26.48494097,22.01595776,19.37538605,20.42700422,20.82068295,20.5536819,19.72686795,21.28780522,21.87274529,20.67722633,19.45008247,19.760207,20.58319097,21.89597439,20.72723291,20.08320983,21.95380793,21.36596582,21.72534864
A0A337SDS2,unreviewed,A0A337SDS2_FELCA,ABI family member 3 binding protein,ABI3BP,21.4286782,19.63317672,19.4508211,20.13427412,22.00841279,20.50838076,19.46856463,18.77467784,19.15223985,19.603724,18.82175394,19.29877373,18.41579458,18.27212782,18.4406078,19.09217848,20.38934346,20.39180943,18.56673433,18.4598265,18.97501279,18.43171957,18.57043419,19.32582594,17.9012302,18.68539527,18.01476138
A0A337S133,unreviewed,A0A337S133_FELCA,Costars family protein ABRACL (ABRA C-terminal-like protein),ABRACL,17.85805162,18.05548454,17.61964055,17.42300193,18.40371791,16.55827715,17.51478023,18.49716022,17.76629057,18.56669117,20.30425476,16.80290148,16.96605321,19.51701976,21.03645681,18.11466645,16.58243417,19.20333986,18.56315035,18.44674866,17.37543296,18.65454926,15.06790254,20.01249621,18.51123413,19.16330975,18.33534579
A0A337S9Y6,unreviewed,A0A337S9Y6_FELCA,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial (EC 1.3.8.7)",ACADM,20.7708716,18.52712148,18.49274051,18.39882846,20.03226488,19.93333775,17.34496557,19.44974782,17.79788317,10.97247284,10,10,10.5892805,10,10,10,10,10,12.89868227,10,13.78726507,10,10,10,11.69016609,10,10
M3W0B5,unreviewed,M3W0B5_FELCA,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial (EC 1.3.8.5) (2-methyl branched chain acyl-CoA dehydrogenase) (2-methylbutyryl-coenzyme A dehydrogenase)",ACADSB,21.06719424,20.9081393,23.12963435,20.04382851,18.50297181,22.33574298,20.87346907,25.68139975,17.15606945,19.5575575,16.90039745,18.29414866,16.61014169,17.86099499,20.53708633,19.06865206,19.55593884,20.28844823,18.84820528,17.44321364,18.4780798,19.58158051,19.42671922,19.85249805,18.81260853,19.93908989,19.95189131
A0A5F5XDQ7,unreviewed,A0A5F5XDQ7_FELCA,Aggrecan core protein (Cartilage-specific proteoglycan core protein),ACAN,21.32502719,21.1510291,20.92766032,21.23595804,20.16598651,18.28199244,17.91538375,23.31458617,20.46999796,18.92099725,15.2816514,17.68175559,18.80477902,17.70570153,18.44404347,15.00750583,21.18547264,18.02566946,17.61184702,18.66998757,19.30126574,17.88036513,20.49058505,19.92192632,18.59234793,18.01082088,17.4131336
A0A5F5XYF2,unreviewed,A0A5F5XYF2_FELCA,"Acetyl-CoA acetyltransferase, mitochondrial",ACAT1,18.6880753,17.03644606,18.01269694,15.71551271,18.83783633,17.86318791,14.30706617,17.40597694,16.55908667,16.32004786,11.6697807,15.90583938,16.59781998,13.89137097,15.3199869,12.87775058,12.22620131,13.44716684,15.18187402,13.77463806,17.68198625,15.92840415,12.5371527,11.89948614,12.98514108,13.52513829,16.02128616
M3VZ88,unreviewed,M3VZ88_FELCA,acetyl-CoA C-acetyltransferase (EC 2.3.1.9),ACAT2,13.95858431,10,13.30048048,10,16.5913613,13.28187965,15.27438901,12.76434119,16.37946818,12.27713026,10,10,10,10,15.32613165,10,10,10,10,10,10,10,10,12.83689017,12.82251958,15.44716406,12.84482076
A0A5F5XZX3,unreviewed,A0A5F5XZX3_FELCA,acetyl-CoA C-acetyltransferase (EC 2.3.1.9),ACAT2,18.91469756,18.7698112,17.39292289,16.53614823,19.98103131,18.83465123,17.40527131,19.21971496,19.76246923,17.20024465,14.92237663,17.07684174,16.24482191,14.56379148,20.43298415,13.60886,16.09750095,16.99025873,14.63552373,16.55796557,15.50400832,15.83106277,14.86270283,15.29762733,12.00177215,20.95176882,19.6543143
A0A2I2UTZ7,unreviewed,A0A2I2UTZ7_FELCA,Angiotensin-converting enzyme (EC 3.4.-.-),ACE,26.79012123,27.30390932,26.76829362,27.10367073,26.14862885,26.17868692,25.59271262,27.32802225,26.29766587,25.70152582,24.64011412,25.07842854,26.15299402,25.59084254,25.5057488,25.07724499,26.0647327,25.99494215,26.64689484,24.92757879,24.86001316,24.36127548,27.06751218,25.24791004,24.60824375,26.86017382,26.83324982
Q56H28,reviewed,ACE2_FELCA,Angiotensin-converting enzyme 2 (EC 3.4.17.23) (ACE-related carboxypeptidase) (EC 3.4.17.-) [Cleaved into: Processed angiotensin-converting enzyme 2],ACE2,30.2515442,30.80969626,31.24918085,29.68297273,29.30989674,29.88593618,29.40442978,30.29804974,30.34205955,23.28553691,23.32116132,23.44046071,24.01809585,23.75274625,23.92414559,24.36494296,22.50808309,23.7363639,23.81789621,23.78975956,22.94685842,23.82052792,24.05406246,23.38609123,23.6140544,24.02337178,24.13430141
A0A337S319,unreviewed,A0A337S319_FELCA,2-amino-3-carboxymuconate-6-semialdehyde decarboxylase (EC 4.1.1.45) (Picolinate carboxylase),ACMSD,18.22866625,17.26043031,16.66508489,19.2974236,18.81443413,21.66566304,17.66427757,17.2256077,18.01120141,21.77605689,20.78745836,21.42746416,18.04367342,10,22.10545652,19.20468266,21.36823682,18.27437488,15.23259049,18.84657063,14.71324933,12.98678852,10,16.77749639,14.26082123,13.93586517,18.0541646
M3VWD8,unreviewed,M3VWD8_FELCA,Cytoplasmic aconitate hydratase (EC 4.2.1.3) (Citrate hydro-lyase) (Iron-responsive element-binding protein 1),ACO1,21.79560873,20.82641324,20.98784653,21.19546759,21.63468288,22.12407382,20.57211122,20.35101815,22.65895274,21.57501019,20.74186268,26.52450527,21.69724827,26.1990887,26.19774842,23.42384998,26.25768533,23.38777983,22.23042791,21.12101309,23.59318932,20.71888766,22.58439881,21.51640121,22.58567625,21.39844282,21.80421703
A0A5F5XXE9,unreviewed,A0A5F5XXE9_FELCA,Acyl-coenzyme A oxidase,ACOX3,17.64965735,20.23691943,20.00479093,16.88237369,20.70513152,20.01376943,20.38197973,19.86431787,20.7974944,18.80218965,17.6075961,18.03879925,18.4026881,17.31757399,20.09017954,20.54576303,20.51811619,20.72339041,19.65400026,19.95280393,17.41384299,19.7636736,19.31267414,21.99801881,20.31666039,22.31143488,22.03027897
