Entry,Urine,Plasma,Serum,Max,DeltaUrine,DeltaPlasma,DeltaSerum,FlagUrine,FlagPlasma,FlagSerum
A0A5F5XCT0,31.5,31.6,31.5,31.6,0.1,0,0.1,0,0,0
M3W0W4,20,19.9,20.2,20.2,0.2,0.3,0,0,0,0
M3W3E7,24.3,25.7,25.6,25.7,1.4,0,0.1,1,0,0
A0A5F5Y1U9,26.6,30.6,30.6,30.6,4,0,0,1,0,0
A0A5F5Y328,17.5,19.4,19.7,19.7,2.2,0.3,0,1,0,0
A0A337S3K5,22.3,26.7,26.8,26.8,4.5,0.1,0,1,0,0
M3WN23,19.1,11.6,11.3,19.1,0,7.5,7.8,0,1,1
A0A337S6A5,21.8,22.8,18.3,22.8,1,0,4.5,1,0,1
A0A337RXE3,25.8,20.8,21,25.8,0,5,4.8,0,1,1
A0A337SDS2,20.1,19.2,18.6,20.1,0,0.9,1.5,0,0,1
A0A337S133,17.8,18.8,18.2,18.8,1,0,0.6,1,0,0
A0A337S9Y6,19,10.2,11,19,0,8.8,8,0,1,1
M3W0B5,20.8,18.8,19.4,20.8,0,2,1.4,0,1,1
A0A5F5XDQ7,20.5,17.9,18.7,20.5,0,2.6,1.8,0,1,1
A0A5F5XYF2,17.1,14,14.5,17.1,0,3.1,2.6,0,1,1
M3VZ88,13.5,11,11.7,13.5,0,2.5,1.8,0,1,1
A0A5F5XZX3,18.7,16.3,16.1,18.7,0,2.4,2.6,0,1,1
A0A2I2UTZ7,26.6,25.6,25.8,26.6,0,1,0.8,0,1,0
Q56H28,30,23.6,23.7,30,0,6.4,6.3,0,1,1
A0A337S319,18.5,18.9,14.5,18.9,0.4,0,4.4,0,0,1
M3VWD8,21.4,23.7,22.1,23.7,2.3,0,1.6,1,0,1
A0A5F5XXE9,19.6,19.3,20.4,20.4,0.8,1.1,0,0,1,0
A0A337S8L4,19.6,16.8,17.7,19.6,0,2.8,1.9,0,1,1
A0A337S165,22.6,20.3,19.7,22.6,0,2.3,2.9,0,1,1
A0A337SAA6,19.6,17.3,18.1,19.6,0,2.3,1.5,0,1,1
A0A2I2UHD0,14.8,17.4,15.4,17.4,2.6,0,2,1,0,1
A0A5F5XWN0,22.6,18.5,18.4,22.6,0,4.1,4.2,0,1,1
A0A5F5XDM4,26.5,23.6,23.6,26.5,0,2.9,2.9,0,1,1
M3W6I2,22.5,19.9,19.9,22.5,0,2.6,2.6,0,1,1
A0A337SCW1,26.3,23.2,23.2,26.3,0,3.1,3.1,0,1,1
A0A2I2U3E4,22.9,21.3,21.3,22.9,0,1.6,1.6,0,1,1
M3W8V8,19.8,14.8,14.3,19.8,0,5,5.5,0,1,1
A0A337RUC4,24.6,17.8,17,24.6,0,6.8,7.6,0,1,1
M3VUE2,20.6,17,18.4,20.6,0,3.6,2.2,0,1,1
A0A337RV46,23.7,21.8,21.9,23.7,0,1.9,1.8,0,1,1
A0A337SC15,21.5,18.3,18.6,21.5,0,3.2,2.9,0,1,1
A0A2I2UWI1,21.8,20.5,20.5,21.8,0,1.3,1.3,0,1,1
A0A2I2V2H3,14.3,11.5,11,14.3,0,2.8,3.3,0,1,1
A0A337S9H1,18.6,14.2,13.9,18.6,0,4.4,4.7,0,1,1
M3X5J0,18.6,19.1,18.1,19.1,0.5,0,1,0,0,0
A0A5F5XCM7,22.2,13.8,14,22.2,0,8.4,8.2,0,1,1
M3WNU5,19.8,17.7,17.7,19.8,0,2.1,2.1,0,1,1
M3VVC4,21.3,20.5,20.1,21.3,0,0.8,1.2,0,0,1
A0A337SUP1,23,12.1,12.3,23,0,10.9,10.7,0,1,1
A0A5F5XF14,21.2,14.4,14,21.2,0,6.8,7.2,0,1,1
A0A2I2UTI9,19.7,20,19.7,20,0.3,0,0.3,0,0,0
A0A2I2UM02,23.8,19.8,19.9,23.8,0,4,3.9,0,1,1
A0A5F5XG72,22.6,20.3,20.7,22.6,0,2.3,1.9,0,1,1
A0A2I2U088,18.8,17.5,17.8,18.8,0,1.3,1,0,1,0
A0A2I2UB34,25.1,19.7,19.8,25.1,0,5.4,5.3,0,1,1
A0A2I2U0D3,21.7,20.4,20.7,21.7,0,1.3,1,0,1,0
A0A2I2U5R8,22.9,16.7,16.5,22.9,0,6.2,6.4,0,1,1
A0A337SL34,19.9,15.8,15.8,19.9,0,4.1,4.1,0,1,1
A0A3B0IPC1,19.9,24.2,24.3,24.3,4.4,0.1,0,1,0,0
A0A3B0J2D0,20.6,24.3,24.3,24.3,3.7,0,0,1,0,0
A0A337SQU4,18.8,19.4,19.9,19.9,1.1,0.5,0,1,0,0
A0A2I2U1Z3,26.2,28.8,28.7,28.8,2.6,0,0.1,1,0,0
M3XC81,19.7,18.9,19.6,19.7,0,0.8,0.1,0,0,0
M3X557,20.2,21.6,21.7,21.7,1.5,0.1,0,1,0,0
A0A5F5XS55,23.5,19.3,19,23.5,0,4.2,4.5,0,1,1
M3X0F1,19.6,16,16.1,19.6,0,3.6,3.5,0,1,1
Q6KCA0,26.1,27.3,27,27.3,1.2,0,0.3,1,0,0
A0A5F5XI81,21.7,20,18.9,21.7,0,1.7,2.8,0,1,1
A0A2I2UUP6,31.8,28.1,28,31.8,0,3.7,3.8,0,1,1
A0A2I2U551,19.7,17,17.7,19.7,0,2.7,2,0,1,1
A0A337SD37,28.3,30.8,30.8,30.8,2.5,0,0,1,0,0
A0A5F5XVZ8,20.5,16.4,15.2,20.5,0,4.1,5.3,0,1,1
A0A5F5XHI8,23.1,20.8,20.2,23.1,0,2.3,2.9,0,1,1
A0A5F5XWS8,22.7,19.7,19.8,22.7,0,3,2.9,0,1,1
A0A5F5XQC7,15.5,11.4,10.3,15.5,0,4.1,5.2,0,1,1
M3WA76,21,19.5,20.1,21,0,1.5,0.9,0,1,0
P49064,35.1,36.6,36.6,36.6,1.5,0,0,1,0,0
A0A2I2U7Y0,29.8,31.5,31.4,31.5,1.7,0,0.1,1,0,0
A0A2I2UX74,24.1,22.7,21.7,24.1,0,1.4,2.4,0,1,1
M3WAV4,24.7,23.9,24.4,24.7,0,0.8,0.3,0,0,0
A0A337RUT4,20.2,11.3,12.9,20.2,0,8.9,7.3,0,1,1
A0A337STY8,18.1,14.9,14.1,18.1,0,3.2,4,0,1,1
A0A337RWN1,12.7,11.3,13,13,0.3,1.7,0,0,1,0
A0A337S2J9,21.7,19.5,19.4,21.7,0,2.2,2.3,0,1,1
A0A337SF20,17.3,19.7,17,19.7,2.4,0,2.7,1,0,1
M3W1Z4,21.9,20.1,19.7,21.9,0,1.8,2.2,0,1,1
A0A337S416,24.7,23.5,23.6,24.7,0,1.2,1.1,0,1,1
A0A5F5XME0,24.8,22,21.1,24.8,0,2.8,3.7,0,1,1
A0A337SRA7,20.3,15.3,15.2,20.3,0,5,5.1,0,1,1
Q29486,25.7,22,22,25.7,0,3.7,3.7,0,1,1
A0A337SNZ0,23.1,22.1,22,23.1,0,1,1.1,0,1,1
A0A337SBE3,24.6,22.6,22.4,24.6,0,2,2.2,0,1,1
A0A5F5Y013,26.3,25.6,25.6,26.3,0,0.7,0.7,0,0,0
M3X5H0,20.2,17.7,17.5,20.2,0,2.5,2.7,0,1,1
A0A337SEZ4,23.5,22.3,22.2,23.5,0,1.2,1.3,0,1,1
M3X749,23.6,19.6,19.7,23.6,0,4,3.9,0,1,1
A0A5F5XNX6,22.8,21.1,21.5,22.8,0,1.7,1.3,0,1,1
M3WA23,26.8,23.2,23.3,26.8,0,3.6,3.5,0,1,1
M3WET8,27.1,20,20,27.1,0,7.1,7.1,0,1,1
A0A5F5Y1K1,23.7,18,18.3,23.7,0,5.7,5.4,0,1,1
A0A337SS27,21.1,18.4,17.9,21.1,0,2.7,3.2,0,1,1
P79171,26.6,23.4,23.4,26.6,0,3.2,3.2,0,1,1
A0A337SIV7,25.4,20,20.2,25.4,0,5.4,5.2,0,1,1
A0A337SPR7,18,19,19,19,1,0,0,1,0,0
A0A5F5XLK1,20.3,18.2,19.2,20.3,0,2.1,1.1,0,1,1
M3W3I3,19.5,14.7,14.6,19.5,0,4.8,4.9,0,1,1
A0A5F5XPA1,26,21.9,22,26,0,4.1,4,0,1,1
M3XFZ3,20,11.6,11,20,0,8.4,9,0,1,1
A0A337SIG2,22.6,20.5,20.6,22.6,0,2.1,2,0,1,1
A0A337SCD2,24.5,20.8,21.1,24.5,0,3.7,3.4,0,1,1
A0A337S137,24.9,22,22.3,24.9,0,2.9,2.6,0,1,1
A0A337S5C0,22.9,21.5,21.4,22.9,0,1.4,1.5,0,1,1
A0A5F5Y7J8,17.6,14.8,15.2,17.6,0,2.8,2.4,0,1,1
A0A337SBJ0,21.4,18.4,17,21.4,0,3,4.4,0,1,1
A0A337SF88,23.2,20.1,20.7,23.2,0,3.1,2.5,0,1,1
A0A5F5XRH7,23.1,21.3,21.3,23.1,0,1.8,1.8,0,1,1
A0A2I2UN04,23.2,22.1,22.2,23.2,0,1.1,1,0,1,0
A0A2I2U0U5,14.9,15.2,15.7,15.7,0.8,0.5,0,0,0,0
A0A337SWK3,23.6,22,21.9,23.6,0,1.6,1.7,0,1,1
A0A2I2U7C2,18.7,15.3,12.7,18.7,0,3.4,6,0,1,1
A0A337SCH1,27.7,32.3,32.3,32.3,4.6,0,0,1,0,0
A0A5F5XCW1,26.5,31.1,31.1,31.1,4.6,0,0,1,0,0
M3W2J4,25.3,29.2,29,29.2,3.9,0,0.2,1,0,0
A0A5F5XQY3,21.8,18.4,18.9,21.8,0,3.4,2.9,0,1,1
A0A2I2UM58,24,21.5,21.8,24,0,2.5,2.2,0,1,1
A0A337S837,27.4,33.1,33.4,33.4,6,0.3,0,1,0,0
M3WPG6,23.7,30.1,30.4,30.4,6.7,0.3,0,1,0,0
M3W955,25.1,28.7,29.1,29.1,4,0.4,0,1,0,0
A0A337SHX7,26.6,26.2,26.2,26.6,0,0.4,0.4,0,0,0
P0DM82,21.8,24.7,24.8,24.8,3,0.1,0,1,0,0
M3WNX1,21.7,26.5,26.4,26.5,4.8,0,0.1,1,0,0
M3WSC8,23.6,30,30,30,6.4,0,0,1,0,0
M3W2V3,13.5,23.6,23.6,23.6,10.1,0,0,1,0,0
M3X8P7,23.8,27,27.2,27.2,3.4,0.2,0,1,0,0
A0A5F5XHD8,27.2,30.5,30.5,30.5,3.3,0,0,1,0,0
A0A5F5XPI7,27.3,26.5,26.7,27.3,0,0.8,0.6,0,0,0
A0A2I2U3L7,22.8,27,27.2,27.2,4.4,0.2,0,1,0,0
M3W828,20.1,24.5,24.8,24.8,4.7,0.3,0,1,0,0
A0A0A0MPX8,24.8,20.5,21,24.8,0,4.3,3.8,0,1,1
A0A2I2UMH4,19.8,20.5,20.4,20.5,0.7,0,0.1,0,0,0
A0A2I2UAM6,22.8,18,17.7,22.8,0,4.8,5.1,0,1,1
A0A2I2U5A2,23.3,20.6,20.1,23.3,0,2.7,3.2,0,1,1
M3VUM2,20.7,16.9,17.9,20.7,0,3.8,2.8,0,1,1
A0A2I2U8Y1,21.3,18.9,18.7,21.3,0,2.4,2.6,0,1,1
M3VXU3,17.1,15.3,15.4,17.1,0,1.8,1.7,0,1,1
A0A2I2UBL3,21.8,18.7,19.1,21.8,0,3.1,2.7,0,1,1
A0A2I2UL98,14,15,13.8,15,1,0,1.2,1,0,1
M3WSL5,18.6,16.7,17,18.6,0,1.9,1.6,0,1,1
M3WMY0,17.9,17.2,17,17.9,0,0.7,0.9,0,0,0
M3XEH2,22.5,19.5,19.3,22.5,0,3,3.2,0,1,1
A0A5F5Y690,20.9,19.3,18.9,20.9,0,1.6,2,0,1,1
M3WDK2,23.8,19.7,19.9,23.8,0,4.1,3.9,0,1,1
A0A5F5XKR0,19,20.2,18.5,20.2,1.2,0,1.7,1,0,1
M3XAU5,22.7,19.8,19.6,22.7,0,2.9,3.1,0,1,1
A0A2I2UC45,22.3,21.1,21.2,22.3,0,1.2,1.1,0,1,1
M3XDK8,24,19.7,19.4,24,0,4.3,4.6,0,1,1
A0A2I2V0N3,29,21,21.3,29,0,8,7.7,0,1,1
A0A5F5XFU3,16.8,21.8,21.8,21.8,5,0,0,1,0,0
A0A337SSG0,19,16.3,16.2,19,0,2.7,2.8,0,1,1
A0A337SX21,19.9,12.2,13.1,19.9,0,7.7,6.8,0,1,1
A0A337SAN3,20,13.6,15,20,0,6.4,5,0,1,1
A0A2I2U788,20.6,21.6,21.9,21.9,1.3,0.3,0,1,0,0
M3WLS9,21.6,20.8,20.6,21.6,0,0.8,1,0,0,0
M3WWN6,20.6,17.6,17,20.6,0,3,3.6,0,1,1
M3W3H5,20.7,18.4,19.2,20.7,0,2.3,1.5,0,1,1
