Entry,Urine,Plasma,Serum,Max,DeltaUrine,DeltaSerum,DeltaPlasma,FlagUrine,FlagSerum,FlagPlasma
A0A5F5XCT0_FELCA,31.49780137,31.49622605,31.43284679,31.49780137,0,0.00157532,0.06495458,0,0,0
M3W0W4_FELCA,20.03189296,19.62761811,19.99577897,20.03189296,0,0.40427485,0.03611399,0,0,0
M3W3E7_FELCA,24.18913883,25.75206182,25.52915758,25.75206182,1.56292299,0,0.22290424,1,0,0
A0A5F5Y1U9_FELCA,26.72898672,30.62982388,30.58676796,30.62982388,3.90083716,0,0.04305592,1,0,0
A0A5F5Y328_FELCA,17.61835948,19.60107202,19.96353299,19.96353299,2.34517351,0.36246097,0,1,0,0
A0A337S3K5_FELCA,22.36947294,26.64216298,26.84556656,26.84556656,4.47609362,0.20340358,0,1,0,0
M3WN23_FELCA,18.70506818,11.71153438,11.40213414,18.70506818,0,6.9935338,7.30293404,0,1,1
A0A337S6A5_FELCA,21.7787349,22.78937939,18.35609399,22.78937939,1.01064449,0,4.4332854,1,0,1
A0A337RXE3_FELCA,25.70229549,20.75081752,20.83833555,25.70229549,0,4.95147797,4.86395994,0,1,1
A0A337SDS2_FELCA,20.06213622,19.19179036,18.54788224,20.06213622,0,0.87034586,1.51425398,0,0,1
A0A337S133_FELCA,17.74404497,18.56597974,18.23668552,18.56597974,0.82193477,0,0.32929422,0,0,0
A0A337S9Y6_FELCA,18.97197347,10.17352815,10.93067927,18.97197347,0,8.79844532,8.0412942,0,1,1
M3W0B5_FELCA,21.0776055,18.74148508,19.14820958,21.0776055,0,2.33612042,1.92939592,0,1,1
A0A5F5XDQ7_FELCA,20.53195794,17.89528624,18.65469769,20.53195794,0,2.6366717,1.87726025,0,1,1
A0A5F5XYF2_FELCA,17.15843167,14.25066272,14.39278965,17.15843167,0,2.90776895,2.76564202,0,1,1
M3VZ88_FELCA,13.50561157,10.84480688,11.55015495,13.50561157,0,2.66080469,1.95545662,0,1,1
A0A5F5XZX3_FELCA,18.53519088,16.34863114,16.14408287,18.53519088,0,2.18655974,2.39110801,0,1,1
A0A2I2UTZ7_FELCA,26.61241238,25.53406374,25.7125391,26.61241238,0,1.07834864,0.89987328,0,1,0
ACE2_FELCA,30.13708511,23.59461518,23.73188038,30.13708511,0,6.54246993,6.40520473,0,1,1
A0A337S319_FELCA,18.31475432,19.22082263,14.97861626,19.22082263,0.90606831,0,4.24220637,0,0,1
M3VWD8_FELCA,21.34957499,24.00053096,21.9502949,24.00053096,2.65095597,0,2.05023606,1,0,1
A0A5F5XXE9_FELCA,19.61515937,19.11625514,20.305932,20.305932,0.69077263,1.18967686,0,0,1,0
A0A337S8L4_FELCA,19.52794928,16.62510684,17.63156295,19.52794928,0,2.90284244,1.89638633,0,1,1
A0A337S165_FELCA,22.57568743,20.32128527,19.71448719,22.57568743,0,2.25440216,2.86120024,0,1,1
A0A337SAA6_FELCA,19.55326948,17.37263174,17.94173178,19.55326948,0,2.18063774,1.6115377,0,1,1
A0A2I2UHD0_FELCA,14.29599523,17.32426989,15.61550612,17.32426989,3.02827466,0,1.70876377,1,0,1
A0A5F5XWN0_FELCA,22.62968402,18.53930383,18.38933925,22.62968402,0,4.09038019,4.24034477,0,1,1
A0A5F5XDM4_FELCA,26.53849136,23.59249434,23.5654414,26.53849136,0,2.94599702,2.97304996,0,1,1
M3W6I2_FELCA,22.44977148,19.79429427,20.01673515,22.44977148,0,2.65547721,2.43303633,0,1,1
A0A337SCW1_FELCA,26.36263802,23.17430809,23.22728872,26.36263802,0,3.18832993,3.1353493,0,1,1
A0A2I2U3E4_FELCA,23.00309684,21.38294659,21.24363416,23.00309684,0,1.62015025,1.75946268,0,1,1
M3W8V8_FELCA,19.85061185,14.92549245,14.44988786,19.85061185,0,4.9251194,5.40072399,0,1,1
A0A337RUC4_FELCA,24.570284,18.07772297,17.0858138,24.570284,0,6.49256103,7.4844702,0,1,1
M3VUE2_FELCA,20.80301418,17.05882399,18.18060695,20.80301418,0,3.74419019,2.62240723,0,1,1
A0A337RV46_FELCA,23.71010291,21.84116809,22.04018899,23.71010291,0,1.86893482,1.66991392,0,1,1
A0A337SC15_FELCA,21.41181572,18.17186706,18.57233789,21.41181572,0,3.23994866,2.83947783,0,1,1
A0A2I2UWI1_FELCA,21.82941569,20.45175854,20.29122544,21.82941569,0,1.37765715,1.53819025,0,1,1
A0A2I2V2H3_FELCA,14.5688213,11.45322984,10.87611939,14.5688213,0,3.11559146,3.69270191,0,1,1
A0A337S9H1_FELCA,18.35533939,14.1562242,13.56708711,18.35533939,0,4.19911519,4.78825228,0,1,1
M3X5J0_FELCA,19.02281108,19.12945098,18.06983086,19.12945098,0.1066399,0,1.05962012,0,0,1
A0A5F5XCM7_FELCA,22.46837326,13.79029372,14.07776124,22.46837326,0,8.67807954,8.39061202,0,1,1
M3WNU5_FELCA,20.0939354,17.7257812,17.62587949,20.0939354,0,2.3681542,2.46805591,0,1,1
