Entry,Protein,Gene,Urine,Plasma,Serum
A0A5F5XCT0_FELCA,Alpha-1-B glycoprotein,A1BG,31.5,31.5,31.4
M3W0W4_FELCA,Alpha-1-B glycoprotein,A1BG,20,19.6,20
M3W3E7_FELCA,Alpha-2-macroglobulin,A2M PZP,24.2,25.8,25.5
A0A5F5Y1U9_FELCA,Alpha-2-macroglobulin,A2M PZP,26.7,30.6,30.6
A0A5F5Y328_FELCA,Alpha-2-macroglobulin,A2M PZP,17.6,19.6,20
A0A337S3K5_FELCA,Alpha-2-macroglobulin like 1,A2ML1,22.4,26.6,26.8
M3WN23_FELCA,ATP binding cassette subfamily A member 6,ABCA6,18.7,11.7,11.4
A0A337S6A5_FELCA,ATP binding cassette subfamily B member 9,ABCB9,21.8,22.8,18.4
A0A337RXE3_FELCA,Putative protein-lysine deacylase ABHD14B (Alpha/beta hydrolase domain-containing protein 14B),ABHD14B,25.7,20.8,20.8
A0A337SDS2_FELCA,ABI family member 3 binding protein,ABI3BP,20.1,19.2,18.5
A0A337S133_FELCA,Costars family protein ABRACL (ABRA C-terminal-like protein),ABRACL,17.7,18.6,18.2
A0A337S9Y6_FELCA,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial (EC 1.3.8.7)",ACADM,19,10.2,10.9
M3W0B5_FELCA,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial (EC 1.3.8.5) (2-methyl branched chain acyl-CoA dehydrogenase) (2-methylbutyryl-coenzyme A dehydrogenase)",ACADSB,21.1,18.7,19.1
A0A5F5XDQ7_FELCA,Aggrecan core protein (Cartilage-specific proteoglycan core protein),ACAN,20.5,17.9,18.7
A0A5F5XYF2_FELCA,"Acetyl-CoA acetyltransferase, mitochondrial",ACAT1,17.2,14.3,14.4
M3VZ88_FELCA,acetyl-CoA C-acetyltransferase (EC 2.3.1.9),ACAT2,13.5,10.8,11.6
A0A5F5XZX3_FELCA,acetyl-CoA C-acetyltransferase (EC 2.3.1.9),ACAT2,18.5,16.3,16.1
A0A2I2UTZ7_FELCA,Angiotensin-converting enzyme (EC 3.4.-.-),ACE,26.6,25.5,25.7
ACE2_FELCA,Angiotensin-converting enzyme 2 (EC 3.4.17.23) (ACE-related carboxypeptidase) (EC 3.4.17.-) [Cleaved into: Processed angiotensin-converting enzyme 2],ACE2,30.1,23.6,23.7
A0A337S319_FELCA,2-amino-3-carboxymuconate-6-semialdehyde decarboxylase (EC 4.1.1.45) (Picolinate carboxylase),ACMSD,18.3,19.2,15
M3VWD8_FELCA,Cytoplasmic aconitate hydratase (EC 4.2.1.3) (Citrate hydro-lyase) (Iron-responsive element-binding protein 1),ACO1,21.3,24,22
A0A5F5XXE9_FELCA,Acyl-coenzyme A oxidase,ACOX3,19.6,19.1,20.3
A0A337S8L4_FELCA,Low molecular weight phosphotyrosine protein phosphatase (LMW-PTP) (LMW-PTPase) (EC 3.1.3.2) (EC 3.1.3.48) (Low molecular weight cytosolic acid phosphatase),ACP1,19.5,16.6,17.6
A0A337S165_FELCA,Lysosomal acid phosphatase (EC 3.1.3.2),ACP2,22.6,20.3,19.7
A0A337SAA6_FELCA,Lysosomal acid phosphatase (EC 3.1.3.2),ACP2,19.6,17.4,17.9
A0A2I2UHD0_FELCA,Long-chain-fatty-acid--CoA ligase (EC 6.2.1.15) (EC 6.2.1.3) (Acyl-CoA synthetase) (Long-chain acyl-CoA synthetase),ACSL5,14.3,17.3,15.6
A0A5F5XWN0_FELCA,"Actin alpha 1, skeletal muscle",ACTA1 CCSAP,22.6,18.5,18.4
A0A5F5XDM4_FELCA,"Actin, cytoplasmic 1 (Beta-actin)",ACTB,26.5,23.6,23.6
M3W6I2_FELCA,"Actin, cytoplasmic 2 (Gamma-actin)",ACTG1,22.4,19.8,20
A0A337SCW1_FELCA,"Actin, gamma-enteric smooth muscle (Gamma-2-actin) (Smooth muscle gamma-actin)",ACTG2,26.4,23.2,23.2
A0A2I2U3E4_FELCA,Alpha-actinin-4 (Non-muscle alpha-actinin 4),ACTN4,23,21.4,21.2
M3W8V8_FELCA,Serine/threonine-protein kinase receptor (EC 2.7.11.30),ACVR1,19.9,14.9,14.4
A0A337RUC4_FELCA,receptor protein serine/threonine kinase (EC 2.7.11.30),ACVR1B,24.6,18.1,17.1
M3VUE2_FELCA,Serine/threonine-protein kinase receptor (EC 2.7.11.30),ACVRL1,20.8,17.1,18.2
A0A337RV46_FELCA,N-acyl-aliphatic-L-amino acid amidohydrolase (EC 3.5.1.14) (N-acyl-L-amino-acid amidohydrolase),ACY1,23.7,21.8,22
A0A337SC15_FELCA,N-acyl-aliphatic-L-amino acid amidohydrolase (EC 3.5.1.14) (N-acyl-L-amino-acid amidohydrolase),ACY1,21.4,18.2,18.6
A0A2I2UWI1_FELCA,Disintegrin and metalloproteinase domain-containing protein 10 (EC 3.4.24.81) (Kuzbanian protein homolog) (Mammalian disintegrin-metalloprotease),ADAM10,21.8,20.5,20.3
A0A2I2V2H3_FELCA,ADAM metallopeptidase domain 8,ADAM8,14.6,11.5,10.9
A0A337S9H1_FELCA,ADAM metallopeptidase domain 9,ADAM9,18.4,14.2,13.6
M3X5J0_FELCA,ADAM metallopeptidase with thrombospondin type 1 motif 13,ADAMTS13,19,19.1,18.1
A0A5F5XCM7_FELCA,ADAM metallopeptidase with thrombospondin type 1 motif 2,ADAMTS2,22.5,13.8,14.1
M3WNU5_FELCA,ADAMTS like 2,ADAMTSL2,20.1,17.7,17.6
M3VVC4_FELCA,ADAMTS like 4,ADAMTSL4,21.5,20.6,20.1
A0A337SUP1_FELCA,Adhesion G protein-coupled receptor E2,ADGRE2,23,12,12.3
A0A5F5XF14_FELCA,Adhesion G protein-coupled receptor E5,ADGRE5,21.2,14.1,14
A0A2I2UTI9_FELCA,Adhesion G protein-coupled receptor F5,ADGRF5,19.8,19.8,19.6
A0A2I2UM02_FELCA,Adhesion G-protein coupled receptor G1 (G-protein coupled receptor 56),ADGRG1,23.9,19.8,19.9
A0A5F5XG72_FELCA,Adhesion G-protein coupled receptor G1 (G-protein coupled receptor 56),ADGRG1,22.7,20.5,20.8
A0A2I2U088_FELCA,Adhesion G protein-coupled receptor G6,ADGRG6,18.9,17.5,17.7
A0A2I2UB34_FELCA,Adhesion G protein-coupled receptor L1,ADGRL1,25.2,19.6,19.8
A0A2I2U0D3_FELCA,Adhesion G protein-coupled receptor L2,ADGRL2,21.8,20.4,20.7
A0A2I2U5R8_FELCA,Adhesion G protein-coupled receptor L3,ADGRL3,23.1,16.6,16.4
A0A337SL34_FELCA,Adhesion G protein-coupled receptor L4,ADGRL4,20,15.9,15.7
A0A3B0IPC1_FELCA,Adiponectin A,ADIA,19.9,24.2,24.3
A0A3B0J2D0_FELCA,Adiponectin D,ADID,20.8,24.3,24.3
