"","From","Entry","Gene.Names","Protein.names","Protein.existence","Annotation","Gene.Ontology..GO.","Gene.Ontology.IDs","Gene.encoded.by"
"1","A0A5F5XCT0","A0A5F5XCT0","A1BG","Alpha-1-B glycoprotein","Predicted","1","extracellular region [GO:0005576]; plasma membrane [GO:0005886]; immune response-regulating signaling pathway [GO:0002764]","GO:0002764; GO:0005576; GO:0005886",NA
"2","M3W0W4","M3W0W4","A1BG","Alpha-1-B glycoprotein","Predicted","1",NA,NA,NA
"3","M3W3E7","M3W3E7","A2M PZP","Alpha-2-macroglobulin","Inferred from homology","1","extracellular space [GO:0005615]; serine-type endopeptidase inhibitor activity [GO:0004867]","GO:0004867; GO:0005615",NA
"4","A0A5F5Y1U9","A0A5F5Y1U9","A2M PZP","Alpha-2-macroglobulin","Inferred from homology","2","extracellular space [GO:0005615]; calcium-dependent protein binding [GO:0048306]; endopeptidase inhibitor activity [GO:0004866]; interleukin-1 binding [GO:0019966]; interleukin-8 binding [GO:0019959]; protease binding [GO:0002020]; serine-type endopeptidase inhibitor activity [GO:0004867]; signaling receptor binding [GO:0005102]; tumor necrosis factor binding [GO:0043120]; negative regulation of complement activation, lectin pathway [GO:0001869]","GO:0001869; GO:0002020; GO:0004866; GO:0004867; GO:0005102; GO:0005615; GO:0019959; GO:0019966; GO:0043120; GO:0048306",NA
"5","A0A5F5Y328","A0A5F5Y328","A2M PZP","Alpha-2-macroglobulin","Inferred from homology","1","extracellular space [GO:0005615]; serine-type endopeptidase inhibitor activity [GO:0004867]","GO:0004867; GO:0005615",NA
"6","A0A337S3K5","A0A337S3K5","A2ML1","Alpha-2-macroglobulin like 1","Inferred from homology","1","extracellular space [GO:0005615]; serine-type endopeptidase inhibitor activity [GO:0004867]","GO:0004867; GO:0005615",NA
"7","M3WN23","M3WN23","ABCA6","ATP binding cassette subfamily A member 6","Predicted","2","intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]; lipid transporter activity [GO:0005319]; lipid transport [GO:0006869]","GO:0005319; GO:0005524; GO:0006869; GO:0016020; GO:0016887; GO:0042626; GO:0043231; GO:0140359",NA
"8","A0A337S6A5","A0A337S6A5","ABCB9","ATP binding cassette subfamily B member 9","Predicted","1","lysosomal membrane [GO:0005765]; ABC-type peptide transporter activity [GO:0015440]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]","GO:0005524; GO:0005765; GO:0015440; GO:0016887",NA
"9","A0A337RXE3","A0A337RXE3","ABHD14B","Putative protein-lysine deacylase ABHD14B (Alpha/beta hydrolase domain-containing protein 14B)","Inferred from homology","2","cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; acyltransferase activity [GO:0016746]; hydrolase activity [GO:0016787]; positive regulation of transcription by RNA polymerase II [GO:0045944]","GO:0005654; GO:0005730; GO:0005737; GO:0005829; GO:0016746; GO:0016787; GO:0045944",NA
"10","A0A337SDS2","A0A337SDS2","ABI3BP","ABI family member 3 binding protein","Predicted","2","collagen-containing extracellular matrix [GO:0062023]; interstitial matrix [GO:0005614]; collagen binding [GO:0005518]; heparin binding [GO:0008201]; extracellular matrix organization [GO:0030198]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of connective tissue replacement involved in inflammatory response wound healing [GO:1904597]; positive regulation of cardiocyte differentiation [GO:1905209]; positive regulation of cell-substrate adhesion [GO:0010811]","GO:0005518; GO:0005614; GO:0008201; GO:0008285; GO:0010811; GO:0030198; GO:0062023; GO:1904597; GO:1905209",NA
"11","A0A337S133","A0A337S133","ABRACL","Costars family protein ABRACL (ABRA C-terminal-like protein)","Inferred from homology","1","regulation of actin filament-based process [GO:0032970]","GO:0032970",NA
"12","A0A337S9Y6","A0A337S9Y6","ACADM","Medium-chain specific acyl-CoA dehydrogenase, mitochondrial (EC 1.3.8.7)","Inferred from homology","3","mitochondrial matrix [GO:0005759]; flavin adenine dinucleotide binding [GO:0050660]; medium-chain fatty acyl-CoA dehydrogenase activity [GO:0070991]; fatty acid beta-oxidation [GO:0006635]","GO:0005759; GO:0006635; GO:0050660; GO:0070991",NA
"13","M3W0B5","M3W0B5","ACADSB","Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial (EC 1.3.8.5) (2-methyl branched chain acyl-CoA dehydrogenase) (2-methylbutyryl-coenzyme A dehydrogenase)","Inferred from homology","4","mitochondrion [GO:0005739]; 2-methylbutanoyl-CoA dehydrogenase activity [GO:0003853]; acyl-CoA dehydrogenase activity [GO:0003995]; flavin adenine dinucleotide binding [GO:0050660]; identical protein binding [GO:0042802]; fatty acid metabolic process [GO:0006631]; isoleucine catabolic process [GO:0006550]","GO:0003853; GO:0003995; GO:0005739; GO:0006550; GO:0006631; GO:0042802; GO:0050660",NA
"14","A0A5F5XDQ7","A0A5F5XDQ7","ACAN","Aggrecan core protein (Cartilage-specific proteoglycan core protein)","Inferred from homology","2","extracellular region [GO:0005576]; calcium ion binding [GO:0005509]; carbohydrate binding [GO:0030246]; hyaluronic acid binding [GO:0005540]; cell adhesion [GO:0007155]","GO:0005509; GO:0005540; GO:0005576; GO:0007155; GO:0030246",NA
"15","A0A5F5XYF2","A0A5F5XYF2","ACAT1","Acetyl-CoA acetyltransferase, mitochondrial","Inferred from homology","2","mitochondrion [GO:0005739]; acetyl-CoA C-acyltransferase activity [GO:0003988]; metal ion binding [GO:0046872]","GO:0003988; GO:0005739; GO:0046872",NA
"16","M3VZ88","M3VZ88","ACAT2","acetyl-CoA C-acetyltransferase (EC 2.3.1.9)","Inferred from homology","2","acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]","GO:0016747",NA
"17","A0A5F5XZX3","A0A5F5XZX3","ACAT2","acetyl-CoA C-acetyltransferase (EC 2.3.1.9)","Inferred from homology","2","mitochondrion [GO:0005739]; acetyl-CoA C-acetyltransferase activity [GO:0003985]; fatty acid beta-oxidation [GO:0006635]","GO:0003985; GO:0005739; GO:0006635",NA
"18","A0A2I2UTZ7","A0A2I2UTZ7","ACE","Angiotensin-converting enzyme (EC 3.4.-.-)","Inferred from homology","5","endosome [GO:0005768]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; lysosome [GO:0005764]; plasma membrane [GO:0005886]; bradykinin receptor binding [GO:0031711]; carboxypeptidase activity [GO:0004180]; chloride ion binding [GO:0031404]; metallodipeptidase activity [GO:0070573]; metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]; mitogen-activated protein kinase binding [GO:0051019]; mitogen-activated protein kinase kinase binding [GO:0031434]; peptidyl-dipeptidase activity [GO:0008241]; tripeptidyl-peptidase activity [GO:0008240]; zinc ion binding [GO:0008270]; amyloid-beta metabolic process [GO:0050435]; angiotensin maturation [GO:0002003]; angiotensin-activated signaling pathway [GO:0038166]; arachidonic acid secretion [GO:0050482]; bradykinin catabolic process [GO:0010815]; cell proliferation in bone marrow [GO:0071838]; heart contraction [GO:0060047]; hormone catabolic process [GO:0042447]; kidney development [GO:0001822]; male gonad development [GO:0008584]; negative regulation of gap junction assembly [GO:1903597]; negative regulation of gene expression [GO:0010629]; neutrophil mediated immunity [GO:0002446]; positive regulation of peptidyl-cysteine S-nitrosylation [GO:2000170]; positive regulation of systemic arterial blood pressure [GO:0003084]; post-transcriptional regulation of gene expression [GO:0010608]; regulation of angiotensin metabolic process [GO:0060177]; regulation of heart rate by cardiac conduction [GO:0086091]; regulation of hematopoietic stem cell proliferation [GO:1902033]; regulation of synaptic plasticity [GO:0048167]; regulation of systemic arterial blood pressure by renin-angiotensin [GO:0003081]; spermatogenesis [GO:0007283]; substance P catabolic process [GO:0010814]","GO:0001822; GO:0002003; GO:0002446; GO:0003081; GO:0003084; GO:0004180; GO:0004222; GO:0005764; GO:0005768; GO:0005886; GO:0007283; GO:0008237; GO:0008240; GO:0008241; GO:0008270; GO:0008584; GO:0009897; GO:0010608; GO:0010629; GO:0010814; GO:0010815; GO:0031404; GO:0031434; GO:0031711; GO:0038166; GO:0042447; GO:0048167; GO:0050435; GO:0050482; GO:0051019; GO:0060047; GO:0060177; GO:0070062; GO:0070573; GO:0071838; GO:0086091; GO:1902033; GO:1903597; GO:2000170",NA
"19","Q56H28","Q56H28","ACE2","Angiotensin-converting enzyme 2 (EC 3.4.17.23) (ACE-related carboxypeptidase) (EC 3.4.17.-) [Cleaved into: Processed angiotensin-converting enzyme 2]","Evidence at protein level","5","apical plasma membrane [GO:0016324]; cell surface [GO:0009986]; cilium [GO:0005929]; cytoplasm [GO:0005737]; extracellular space [GO:0005615]; plasma membrane [GO:0005886]; carboxypeptidase activity [GO:0004180]; metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237]; peptidyl-dipeptidase activity [GO:0008241]; virus receptor activity [GO:0001618]; proteolysis [GO:0006508]","GO:0001618; GO:0004180; GO:0005615; GO:0005737; GO:0005886; GO:0005929; GO:0006508; GO:0008237; GO:0008241; GO:0009986; GO:0016324; GO:0046872",NA
"20","A0A337S319","A0A337S319","ACMSD","2-amino-3-carboxymuconate-6-semialdehyde decarboxylase (EC 4.1.1.45) (Picolinate carboxylase)","Inferred from homology","2","cytosol [GO:0005829]; aminocarboxymuconate-semialdehyde decarboxylase activity [GO:0001760]; hydrolase activity [GO:0016787]; negative regulation of quinolinate biosynthetic process [GO:1904985]; organic cyclic compound metabolic process [GO:1901360]","GO:0001760; GO:0005829; GO:0016787; GO:1901360; GO:1904985",NA
"21","M3VWD8","M3VWD8","ACO1","Cytoplasmic aconitate hydratase (EC 4.2.1.3) (Citrate hydro-lyase) (Iron-responsive element-binding protein 1)","Inferred from homology","4","cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; mitochondrion [GO:0005739]; 3 iron, 4 sulfur cluster binding [GO:0051538]; 4 iron, 4 sulfur cluster binding [GO:0051539]; aconitate hydratase activity [GO:0003994]; iron-responsive element binding [GO:0030350]; metal ion binding [GO:0046872]; citrate metabolic process [GO:0006101]; intestinal absorption [GO:0050892]; intracellular iron ion homeostasis [GO:0006879]; post-embryonic development [GO:0009791]; regulation of translation [GO:0006417]; response to iron(II) ion [GO:0010040]; tricarboxylic acid cycle [GO:0006099]","GO:0003994; GO:0005739; GO:0005783; GO:0005794; GO:0005829; GO:0006099; GO:0006101; GO:0006417; GO:0006879; GO:0009791; GO:0010040; GO:0030350; GO:0046872; GO:0050892; GO:0051538; GO:0051539",NA
"22","A0A5F5XXE9","A0A5F5XXE9","ACOX3","Acyl-coenzyme A oxidase","Inferred from homology","2","peroxisome [GO:0005777]; acyl-CoA oxidase activity [GO:0003997]; FAD binding [GO:0071949]; fatty acid beta-oxidation [GO:0006635]","GO:0003997; GO:0005777; GO:0006635; GO:0071949",NA
"23","A0A337S8L4","A0A337S8L4","ACP1","Low molecular weight phosphotyrosine protein phosphatase (LMW-PTP) (LMW-PTPase) (EC 3.1.3.2) (EC 3.1.3.48) (Low molecular weight cytosolic acid phosphatase)","Inferred from homology","3","cytoplasm [GO:0005737]; acid phosphatase activity [GO:0003993]; non-membrane spanning protein tyrosine phosphatase activity [GO:0004726]; protein tyrosine phosphatase activity [GO:0004725]","GO:0003993; GO:0004725; GO:0004726; GO:0005737",NA
"24","A0A337S165","A0A337S165","ACP2","Lysosomal acid phosphatase (EC 3.1.3.2)","Inferred from homology","2","lysosomal lumen [GO:0043202]; lysosomal membrane [GO:0005765]","GO:0005765; GO:0043202",NA
"25","A0A337SAA6","A0A337SAA6","ACP2","Lysosomal acid phosphatase (EC 3.1.3.2)","Inferred from homology","2","lysosomal lumen [GO:0043202]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; acid phosphatase activity [GO:0003993]; lysosome organization [GO:0007040]","GO:0003993; GO:0005764; GO:0005765; GO:0007040; GO:0043202",NA
"26","A0A2I2UHD0","A0A2I2UHD0","ACSL5","Long-chain-fatty-acid--CoA ligase (EC 6.2.1.15) (EC 6.2.1.3) (Acyl-CoA synthetase) (Long-chain acyl-CoA synthetase)","Inferred from homology","3","endoplasmic reticulum membrane [GO:0005789]; mitochondrial outer membrane [GO:0005741]; ATP binding [GO:0005524]; long-chain fatty acid-CoA ligase activity [GO:0004467]","GO:0004467; GO:0005524; GO:0005741; GO:0005789",NA
"27","A0A5F5XWN0","A0A5F5XWN0","ACTA1 CCSAP","Actin alpha 1, skeletal muscle","Inferred from homology","2","actin filament [GO:0005884]; axon [GO:0030424]; cytoplasm [GO:0005737]; membrane [GO:0016020]; NuA4 histone acetyltransferase complex [GO:0035267]; synapse [GO:0045202]; protein kinase binding [GO:0019901]; structural constituent of postsynaptic actin cytoskeleton [GO:0098973]; axonogenesis [GO:0007409]; cell motility [GO:0048870]","GO:0005737; GO:0005884; GO:0007409; GO:0016020; GO:0019901; GO:0030424; GO:0035267; GO:0045202; GO:0048870; GO:0098973",NA
"28","A0A5F5XDM4","A0A5F5XDM4","ACTB","Actin, cytoplasmic 1 (Beta-actin)","Inferred from homology","1",NA,NA,NA
"29","M3W6I2","M3W6I2","ACTG1","Actin, cytoplasmic 2 (Gamma-actin)","Inferred from homology","5","actin filament [GO:0005884]; apical junction complex [GO:0043296]; axon [GO:0030424]; basal body patch [GO:0120220]; calyx of Held [GO:0044305]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; filamentous actin [GO:0031941]; membrane [GO:0016020]; myofibril [GO:0030016]; NuA4 histone acetyltransferase complex [GO:0035267]; phagocytic vesicle [GO:0045335]; Schaffer collateral - CA1 synapse [GO:0098685]; synapse [GO:0045202]; identical protein binding [GO:0042802]; profilin binding [GO:0005522]; protein kinase binding [GO:0019901]; structural constituent of postsynaptic actin cytoskeleton [GO:0098973]; ubiquitin protein ligase binding [GO:0031625]; angiogenesis [GO:0001525]; axonogenesis [GO:0007409]; cell motility [GO:0048870]; cellular response to type II interferon [GO:0071346]; morphogenesis of a polarized epithelium [GO:0001738]; positive regulation of cell migration [GO:0030335]; positive regulation of gene expression [GO:0010628]; positive regulation of wound healing [GO:0090303]; protein localization to bicellular tight junction [GO:1902396]; regulation of focal adhesion assembly [GO:0051893]; regulation of stress fiber assembly [GO:0051492]; regulation of synaptic vesicle endocytosis [GO:1900242]; regulation of transepithelial transport [GO:0150111]; sarcomere organization [GO:0045214]; tight junction assembly [GO:0120192]","GO:0001525; GO:0001738; GO:0005522; GO:0005737; GO:0005884; GO:0007409; GO:0010628; GO:0016020; GO:0019901; GO:0030016; GO:0030335; GO:0030424; GO:0031625; GO:0031941; GO:0035267; GO:0042802; GO:0043296; GO:0044305; GO:0045202; GO:0045214; GO:0045335; GO:0048870; GO:0051492; GO:0051893; GO:0070062; GO:0071346; GO:0090303; GO:0098685; GO:0098973; GO:0120192; GO:0120220; GO:0150111; GO:1900242; GO:1902396",NA
