Entry,Protein,Gene,Urine,Plasma,Serum
A0A5F5XCT0,Alpha-1-B glycoprotein,A1BG,31.5,31.6,31.5
M3W0W4,Alpha-1-B glycoprotein,A1BG,20,19.9,20.2
M3W3E7,Alpha-2-macroglobulin,A2M PZP,24.3,25.7,25.6
A0A5F5Y1U9,Alpha-2-macroglobulin,A2M PZP,26.6,30.6,30.6
A0A5F5Y328,Alpha-2-macroglobulin,A2M PZP,17.5,19.4,19.7
A0A337S3K5,Alpha-2-macroglobulin like 1,A2ML1,22.3,26.7,26.8
M3WN23,ATP binding cassette subfamily A member 6,ABCA6,19.1,11.6,11.3
A0A337S6A5,ATP binding cassette subfamily B member 9,ABCB9,21.8,22.8,18.3
A0A337RXE3,Putative protein-lysine deacylase ABHD14B (Alpha/beta hydrolase domain-containing protein 14B),ABHD14B,25.8,20.8,21
A0A337SDS2,ABI family member 3 binding protein,ABI3BP,20.1,19.2,18.6
A0A337S133,Costars family protein ABRACL (ABRA C-terminal-like protein),ABRACL,17.8,18.8,18.2
A0A337S9Y6,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial (EC 1.3.8.7)",ACADM,19,10.2,11
M3W0B5,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial (EC 1.3.8.5) (2-methyl branched chain acyl-CoA dehydrogenase) (2-methylbutyryl-coenzyme A dehydrogenase)",ACADSB,20.8,18.8,19.4
A0A5F5XDQ7,Aggrecan core protein (Cartilage-specific proteoglycan core protein),ACAN,20.5,17.9,18.7
A0A5F5XYF2,"Acetyl-CoA acetyltransferase, mitochondrial",ACAT1,17.1,14,14.5
M3VZ88,acetyl-CoA C-acetyltransferase (EC 2.3.1.9),ACAT2,13.5,11,11.7
A0A5F5XZX3,acetyl-CoA C-acetyltransferase (EC 2.3.1.9),ACAT2,18.7,16.3,16.1
A0A2I2UTZ7,Angiotensin-converting enzyme (EC 3.4.-.-),ACE,26.6,25.6,25.8
Q56H28,Angiotensin-converting enzyme 2 (EC 3.4.17.23) (ACE-related carboxypeptidase) (EC 3.4.17.-) [Cleaved into: Processed angiotensin-converting enzyme 2],ACE2,30,23.6,23.7
A0A337S319,2-amino-3-carboxymuconate-6-semialdehyde decarboxylase (EC 4.1.1.45) (Picolinate carboxylase),ACMSD,18.5,18.9,14.5
M3VWD8,Cytoplasmic aconitate hydratase (EC 4.2.1.3) (Citrate hydro-lyase) (Iron-responsive element-binding protein 1),ACO1,21.4,23.7,22.1
A0A5F5XXE9,Acyl-coenzyme A oxidase,ACOX3,19.6,19.3,20.4
A0A337S8L4,Low molecular weight phosphotyrosine protein phosphatase (LMW-PTP) (LMW-PTPase) (EC 3.1.3.2) (EC 3.1.3.48) (Low molecular weight cytosolic acid phosphatase),ACP1,19.6,16.8,17.7
